WindSpeed9am,Humidity9am,Pressure9am,Temp9am
24,48,1006.5,18.8
6,94,1000.5,13.5
9,82,1010.3,15.9
24,43,1018.4,16.6
7,48,1022,16.8
6,57,1019.2,20.3
11,42,1015.9,19.5
2,44,1015.1,17.6
4,58,1015.9,18.9
6,47,1012.3,21.2
13,58,1006.9,21
6,64,1011.6,15.7
6,52,1008.9,19.7
19,62,1016.9,12.8
4,52,1019.2,17
2,52,1017.6,19.5
13,48,1018.7,21.8
7,51,1019.4,22.1
9,45,1017,23.8
9,40,1008.9,24.2
11,60,1015,16
2,45,1016.2,19.1
7,52,1018.1,20.8
6,48,1013.5,21
11,44,1010.9,23.1
11,41,1012.4,27.2
31,21,1006.5,32.1
0,84,1009.8,20.9
17,56,1014.7,20
11,61,1016.3,22.1
6,58,1015.2,24.4
4,46,1020,25.6
4,41,1022,26
15,41,1016.8,28.1
9,70,1012.2,23.4
6,88,1007.8,20.6
9,57,1014.4,18
11,55,1017.5,21.3
4,46,1014.9,23.3
2,49,1014.1,24.3
9,45,1014.9,22.8
6,50,1018,24.6
7,48,1017.2,26.4
9,38,1015.4,27.8
11,39,1013.8,29.1
7,48,1007.7,29.4
13,56,1009.8,25.1
15,55,1016.1,20.9
11,51,1015.6,24.2
22,50,1009.6,27.7
20,51,1006.9,18
22,44,1007.7,14.4
6,47,1011.5,15
2,52,1011.8,18.5
2,39,1010.7,22.4
7,40,1008.8,26
20,43,1006.7,25
6,50,1013.2,21.5
6,47,1011.4,22.8
0,35,1010,22.9
7,45,1011.4,24.2
2,51,1008.5,23.1
2,46,1009,23.1
15,48,1015.3,23.5
22,39,1014.2,26.6
4,46,1014,25.2
7,61,1016.1,22.9
15,36,1014,24.3
19,51,1010.8,26.3
9,83,1009.9,22.1
20,55,1016.4,22.6
19,53,1020.8,23.2
7,66,1020.8,25.9
NA,64,1018.8,25.2
NA,81,1008.5,23.4
9,82,1009.9,21.2
7,80,1006.8,21.7
7,76,1008.6,19.7
19,48,1014.7,20.6
7,33,1020.4,21
9,54,1023.6,20.8
7,70,1018.9,19.6
6,71,1015.3,23.8
4,83,1014.6,21.3
15,56,1017.3,15.2
9,57,1020.3,17.9
2,61,1023.9,19.5
9,70,1019.4,20.8
0,84,1016.7,19.9
9,58,1019.3,16.6
0,61,1018.6,17.8
7,70,1014.2,20.1
24,74,1008.8,20.9
9,87,1010,22.3
15,89,1013.3,19
11,79,1008.7,19.8
20,90,1014.4,16.3
13,56,1031.4,15.2
4,72,1036.3,14.2
0,80,1035.2,15
6,75,1030,15.6
0,72,1025.5,16.2
0,73,1023.8,16.1
2,76,1025.6,17.6
2,73,1025.4,18.9
4,79,1020.4,17.7
6,77,1020.2,19.4
0,78,1018.7,20.2
6,69,1020.8,13
6,79,1021.2,12.1
0,81,1022,13.3
4,75,1021.8,15.4
0,80,1019.2,15.8
0,73,1019.8,18.3
4,79,1016.4,19.4
7,94,1015.8,18.2
0,91,1019.6,17.5
9,71,1021.2,16.5
2,82,1020,14.6
0,78,1019.8,15.3
0,71,1020.7,15.5
13,58,1022.1,18.3
2,76,1020.7,15.5
0,75,1017.9,15.7
17,87,1012.8,19.2
13,84,1016.7,17.5
4,73,1016.1,15.7
6,84,1011.6,16.7
17,86,1010.1,15.9
19,71,1018.1,11
4,82,1023.8,10.1
9,81,1023.6,12.5
0,79,1022.6,13.3
6,79,1026.5,13.6
7,74,1027.8,15.8
0,67,1027.1,16.8
0,81,1025.7,14.6
2,79,1024.6,16.4
6,74,1022.8,18.5
0,74,1023.6,17.8
7,89,1020.5,15.4
11,95,1013.4,17.1
11,72,1016.2,14.4
4,78,1026.5,10.4
0,84,1020.9,9.7
6,84,1022,12.4
7,79,1021.9,14.3
0,99,1026.8,9.4
0,84,1027.9,11.7
7,97,1026.7,10
0,83,1027.1,12.7
7,92,1017.8,11.9
17,84,1016.1,9.3
11,78,1022.3,10.8
2,89,1024.7,10.2
0,84,1023.7,13
7,99,1023.4,9.2
2,99,1020.8,8.1
9,77,1012.5,10.7
7,81,1022.8,6
0,79,1024.1,6.4
7,99,1021.2,5.7
0,83,1019.9,8.1
0,84,1021.6,8.2
7,92,1021.1,9.2
7,90,1020.9,7.4
0,86,1024.1,6.6
0,88,1023.8,6.8
0,92,1022.3,7.6
0,76,1023.3,6.3
4,76,1023.5,6.6
9,74,1017.6,10.3
7,88,1008.7,13.5
11,71,1008.9,14.9
0,92,1019.6,9.7
0,96,1019.4,9.4
9,99,1005.7,12.1
11,99,1004.7,10.8
19,54,1015.2,15
0,89,1020.7,8.3
0,93,1022.3,8.6
0,79,1026.5,8.9
0,82,1023.6,8.7
7,99,1018.7,5.1
7,97,1020.6,6.2
0,80,1026.7,4.2
2,89,1023.7,5.3
11,81,1012.9,7.8
15,85,1021.2,7.2
6,82,1023,9.2
0,95,1025.4,3.3
6,83,1031.8,4.1
0,85,1035.2,2.2
2,92,1032.3,3.4
4,91,1027.4,7.4
30,82,1010,13
7,88,1019.6,6.9
17,95,1019.4,10.3
0,98,1027.2,7.7
9,99,1034.5,7.4
0,94,1037.3,6.1
0,89,1036.9,7.2
4,85,1030.1,8.3
9,83,1021.9,12.1
4,86,1020.5,7.6
2,99,1024.3,2.8
7,99,1022.7,2.3
9,71,1021.2,6.5
6,81,1020.7,6.3
0,99,1025.2,5.5
2,99,1027.6,3.2
0,99,1030.5,3.7
4,99,1032.5,3.1
7,99,1027.5,2.4
7,94,1020.9,6.7
0,99,1026.9,3
0,99,1029.5,4.1
0,90,1030.9,4.8
6,96,1024.1,5
4,99,1020.6,11.8
9,99,1024.3,5.9
7,98,1016.8,6.2
24,82,1009.2,8.5
13,85,1020.2,6.9
2,99,1028.7,2.9
6,99,1029.2,2.8
9,96,1023.1,5.2
4,99,1018.8,7.7
7,99,1025.4,3.1
0,99,1029.3,2.9
0,89,1032.7,4
7,99,1035.5,4.1
6,99,1032.1,4.5
4,99,1031.7,4.5
0,99,1035.9,3.7
0,85,1036.1,4
4,80,1027.8,5.8
0,99,1018.5,10.3
2,91,1015.5,11.1
4,100,1013.7,11.1
20,86,1016.3,9.3
15,85,1019.5,7.8
0,86,1023.2,6.4
2,97,1019.5,6.7
6,99,1024.5,3.2
0,83,1026.9,4.6
0,86,1022.2,4.3
6,79,1022.4,6
9,86,1013.9,9.7
11,96,1006.2,7.7
19,91,1005.7,9.2
0,99,1016.7,6.5
15,85,1014.4,8.9
11,83,1004.5,10.7
17,94,1013.8,7.7
0,87,1024.1,4.5
0,92,1016.9,5
15,85,1008.2,11.6
20,82,1015.7,6.4
17,86,1018.7,7
7,87,1024,7.6
6,91,1017.7,6.4
19,90,1013.2,9.4
13,87,1010.9,5.4
20,84,1003.1,7.3
20,75,1009.5,9
6,99,1024.4,4.1
2,85,1029.6,7.1
0,84,1028.9,7.4
6,89,1024.8,7.2
7,86,1015.8,11.2
0,92,1016.5,10.9
17,65,1022.1,10.2
24,96,1004.7,15.1
22,81,1011.7,10.6
11,89,1019.7,9.5
7,83,1026.2,8
7,74,1026.9,8.8
7,76,1015.6,11.1
28,91,1004.5,10.9
7,88,1020.2,8.4
9,84,1022.5,10.2
7,88,1017.1,11.4
19,76,1014.7,12.2
20,68,1015.2,9.5
20,64,1019.2,10.2
13,76,1024,8.8
11,67,1021.8,9.8
2,90,1022.7,9
6,79,1026.1,10
2,81,1025.2,11.9
2,70,1025.8,14.7
0,76,1024.4,12.1
2,96,1023.9,9
7,84,1018.6,12.1
0,75,1020.5,13.2
4,83,1014.1,11.9
11,65,1016,10.4
19,66,1021.4,9.4
9,59,1026.3,9.5
7,71,1027.5,9.9
13,61,1028.2,13.7
2,72,1028.4,13.4
6,85,1024.6,13.2
7,78,1021.9,16.3
11,80,1019.8,17.4
20,64,1020,10
2,59,1025.3,10.9
2,83,1025.7,9.9
6,71,1029.4,14.8
15,60,1030.9,15.4
7,91,1027.7,14.7
11,92,1017.9,16.2
4,92,1013.6,14
28,93,989.8,18.5
20,72,1004.6,6.4
15,77,1016.1,9.5
2,74,1019.9,12.5
6,78,1026,10.9
0,80,1028.7,11.9
0,75,1024.5,13.5
6,77,1020.9,14.9
6,81,1016.8,17.4
19,65,1020.6,14.2
4,77,1022.4,14.6
7,80,1017.9,14.8
11,81,1016.2,15.6
7,73,1019.8,15
7,70,1017.2,17.1
7,95,1010.7,17.6
17,78,1011.3,15.5
6,79,1016.5,12.5
11,73,1016.3,12.1
9,63,1019.3,14.4
13,61,1020.8,13.3
19,53,1023,15
15,59,1022.6,14.4
9,73,1018.3,15.9
11,71,1013.8,19.4
7,69,1024.3,18.4
7,76,1019.9,21.5
9,73,1014.3,20.6
20,60,1012.5,24.4
13,63,1012.1,24.4
15,93,1013.9,19.2
19,84,1014.3,16.7
11,56,1015.4,15.8
4,65,1017.5,15.6
6,68,1015.7,16
17,56,1020.9,17.1
7,63,1026,18.3
11,70,1022.1,20
7,59,1022.7,22
22,49,1023.5,23.2
20,46,1021.8,24
7,47,1018.2,23.9
13,92,1018.1,18.5
9,77,1012.6,20.6
17,86,1007.6,18.5
20,69,1013.6,16.6
22,69,1015,17.4
11,72,1014.1,19.6
9,70,1015,21.3
13,71,1014.6,21.3
2,65,1012.6,22.5
4,63,1011.5,23.1
11,63,1012.7,23.3
24,50,1011.5,25.5
22,82,1009.4,21.4
11,85,1009.1,20.5
13,59,1010.1,19.1
17,59,1009.2,15.6
24,54,1005.6,17.7
7,65,1014.3,17
6,67,1015,18.6
15,57,1008.7,24.3
20,72,1004.6,17.6
6,62,1005.3,17.7
19,64,1002.4,16.9
9,71,998.8,15
20,79,1002.3,10.8
15,68,1010.5,14.3
6,71,1018.4,16.6
0,62,1018.1,19.8
15,47,1022.3,20.6
15,60,1014.6,23.2
6,75,1005.4,22.2
13,57,1006.7,16.3
17,49,1016.8,15.1
19,57,1015.6,21.9
9,55,1015.8,21.7
2,55,1014.3,23.3
13,46,1011.1,26.8
2,45,1010.9,25.1
19,56,1011.8,20.2
11,53,1011.6,19.9
4,57,1006.2,22
19,48,1010.3,21.4
17,51,1012.7,23.4
0,66,1012,22.9
17,55,1013.8,26.7
19,68,1013.6,24.1
13,81,1011.7,22.5
19,66,1006.9,25.5
6,86,1009.5,24.4
33,61,1006,24.5
4,83,1009.4,22.3
2,71,1009.7,23.8
19,70,1004.4,21.6
6,64,1007.4,17.9
4,70,1009.1,19.1
13,63,1011.8,21.4
9,60,1012.4,24.9
13,60,1013.6,25.3
11,53,1010.4,24.6
0,68,1002.5,22.2
4,60,1008,21.1
9,63,1008.2,25.1
0,60,1014.5,19.8
13,56,1017.8,20.6
7,59,1018.9,21.5
9,68,1019,23
7,56,1015.3,25.3
6,57,1009,27.2
17,77,1014.1,25.4
0,74,1012.3,25.8
4,80,1012.7,24.8
11,97,1008.6,22.5
19,81,1017,14.7
15,58,1023.6,14.5
7,66,1018.7,18.5
6,66,1022,18.7
9,79,1020.1,19.8
15,98,1013.4,20.4
7,88,1014.2,19.6
11,73,1017.6,20.6
6,57,1022.2,19.4
7,69,1022.3,20.5
0,80,1017.6,20.7
0,90,1012.9,19.9
13,68,1013.7,22
17,91,1005.2,22.1
13,80,1010.1,19.4
19,62,1015.2,13.6
15,53,1022.1,15
7,66,1024,16.8
2,76,1019.2,18.9
2,75,1014.1,19.2
6,70,1011.3,19.6
6,87,1009.9,20.4
7,85,1007.8,20.4
22,82,1006.5,16
11,67,1015.8,13
4,77,1012.9,13.4
6,79,1014.3,13.2
19,58,1020.6,15.6
0,68,1025.8,15
4,73,1023.9,16.2
6,71,1017.5,16.8
0,61,1014.8,22.3
9,92,1012.3,19.8
0,90,1015.4,19
0,88,1018.8,19.8
0,87,1019.8,21.8
7,96,1021.3,19.6
7,81,1020.3,19.4
6,87,1017.3,19.8
7,84,1018.7,15.4
9,77,1015.4,16.2
13,74,1013.9,17.4
13,71,1011.9,19.4
4,75,1005.4,19.3
0,82,1001.4,20.1
15,76,1005.7,16.4
13,90,1003.7,15.7
17,77,1011.8,14.9
2,67,1020.8,15.1
0,69,1025.3,13.9
2,81,1026.9,14.2
0,86,1024,14.8
9,87,1018.7,15.6
0,83,1022.8,11.6
0,81,1019.6,12.8
0,90,1016.5,13.9
0,74,1016.6,14.6
0,85,1019.6,10.7
0,70,1024.3,10.8
0,76,1025.4,8.1
0,96,1020.7,6.2
0,94,1016,7.4
7,60,1017.9,11.4
0,69,1019.3,7.4
22,83,1010.6,8
4,94,1015.3,4.1
11,98,1015,9
20,82,1020.7,6.8
0,95,1031.5,3.3
4,99,1033,4.2
0,85,1031.8,5.4
7,99,1032,7.1
0,91,1031.5,6.6
0,93,1028.7,7.7
0,85,1025.4,8
0,94,1017,10.2
19,88,1002.9,13.2
15,85,1007.8,10
11,74,1017.3,7.3
0,75,1020.5,6.6
2,99,1021.9,6.1
0,99,1025.4,6.1
4,99,1026.5,4.7
0,76,1025.9,8.7
0,73,1024.8,8
0,86,1028,8.8
7,99,1027.8,7.7
6,97,1020.6,8.5
9,95,1016.3,10.9
0,98,1018.7,6.7
9,77,1017.9,6.8
4,97,1019.3,3.1
13,89,1019.2,3
13,89,1018.1,7.2
0,85,1021.3,4.3
0,82,1028.7,3.5
0,76,1029.1,7.6
0,91,1027.3,4.3
7,78,1025.3,8.2
2,82,1027,5.8
0,89,1023.6,4.8
11,92,1010.6,7.5
13,91,1015.1,7.9
0,99,1017.7,7.6
6,86,1015.4,10.4
11,93,1002,6.8
19,93,1013.3,6.3
19,85,1020.2,11
6,99,1028.3,6.4
7,99,1031,8
6,99,1029.2,5.7
0,99,1030.5,4.3
0,98,1035.7,3.6
0,81,1037.4,5.6
0,92,1038.9,5.4
2,99,1033.6,3.9
4,99,1026.7,3.7
6,98,1018.7,6.3
7,85,1013.2,10.7
26,84,1010.1,7.8
17,94,1010.8,7.9
15,85,1013.9,7.5
0,93,1026,4.3
13,94,1022.2,7.4
19,78,1017.7,7
15,85,1022.2,5.7
0,83,1025.4,7.7
15,91,1021.6,7.2
6,99,1029.3,4
0,95,1036.6,2.6
0,78,1031.3,5.3
7,86,1024,8.4
17,92,1018.8,8.6
4,99,1020.4,3.4
2,99,1021.5,3.6
4,75,1022.2,8.8
17,56,1023.5,12.5
0,72,1024.7,5.8
0,93,1021,5.5
9,99,1016.6,8
2,99,1022.3,7
0,99,1030.1,4.3
6,99,1031,2.9
2,92,1028.9,3.6
2,89,1024.6,4.9
2,96,1021.7,8.8
0,92,1021.6,8.7
0,90,1022.2,10.7
0,92,1022.2,9
7,64,1024,14.7
7,65,1023,13.9
7,99,1019.4,10.3
9,96,1016.4,7.6
6,95,1011.9,7.6
2,89,1010.2,6.3
4,89,1009.3,8.9
4,84,1012,7.4
4,74,1020.7,6.9
0,91,1025,5.8
0,88,1027.1,8.2
6,86,1025.6,9.3
0,80,1020.8,11.8
4,95,1011.8,10.4
19,90,1010.7,7.5
11,88,1021,8.2
7,62,1031.5,11.2
6,79,1037.3,8.9
6,79,1039.9,8.8
7,99,1037.3,6.4
11,99,1031.4,6.6
7,99,1025.6,7.2
6,99,1025.6,6.5
2,71,1023.7,8.2
0,72,1022.8,7.3
2,80,1019.2,8.2
0,99,1024.3,5.4
6,87,1025.4,6.5
6,82,1025.6,9.3
7,65,1028.4,10.4
4,71,1028.4,10.2
9,65,1024.2,14.5
0,86,1024.5,10.8
24,55,1014.9,16.7
0,78,1021.3,7.3
7,74,1022.7,7.8
20,70,1013.1,8.4
9,83,1021.7,9.4
4,72,1023.3,9.7
6,78,1017.8,9.8
7,78,1017.5,12
4,52,1015.6,14.7
9,70,1015.5,14.8
31,73,1008.8,12.2
0,99,1022.6,7.8
9,81,1023.4,12.6
17,65,1017.9,14.5
11,69,1020.3,11.8
15,53,1022.2,13.7
6,65,1025,11.7
7,72,1019.9,13.3
9,69,1008.7,16.9
30,84,996.3,11.2
20,84,1006.1,10.1
9,85,1005.8,10.5
13,69,1018.4,11.3
9,67,1024.7,9.4
6,74,1024.9,10.5
4,89,1020.5,10.2
9,87,1014.8,13
7,88,1013.2,13.3
4,79,1012.2,13.5
13,89,1010.1,12.6
13,83,1013.9,9.9
6,81,1018.8,8.9
6,73,1021.2,12.4
11,74,1017.2,15.8
4,77,1009.9,17.1
24,58,1017.9,12.7
11,64,1032.4,10.2
7,69,1033.4,12.7
4,63,1030.1,14.1
6,68,1026.8,16.6
6,77,1023.7,17.9
2,85,1023.9,15.6
2,66,1020.7,18.3
17,46,1010,23.8
15,85,1010.8,13
7,57,1020.2,16.2
9,63,1022.5,15.4
11,80,1016.1,16.7
9,91,1010.4,18.4
17,74,1015.2,13.1
19,60,1022.8,14.1
9,62,1019.8,15.7
11,64,1013.9,14.9
9,61,1013.5,14.5
9,57,1018.4,16
11,72,1016.9,18.5
7,63,1011.2,21.7
4,83,1013.1,21.4
7,72,1009.9,22.7
4,85,1013.4,19.8
24,87,1011.7,15.9
7,72,1023.5,16.4
6,65,1019,18.8
6,66,1015.7,19.7
19,49,1006.1,25.2
2,65,1016.4,18.9
15,62,1018.3,20.1
2,89,1019.2,17.2
9,66,1017.1,22.9
13,72,1013.4,21.9
28,92,1011.4,17.5
4,54,1018.1,17
2,76,1012.3,14.7
19,53,1017.9,17.5
19,44,1024.5,17.2
11,99,1020.1,15
13,83,1006.2,20
15,76,1009.4,16.6
11,72,1016,20.9
9,68,1012.7,22.5
26,66,1006.8,21.1
7,55,1021.7,13.8
20,49,1022.5,15.6
9,53,1019.2,18
28,50,1015.8,16.9
24,46,1021.3,15.2
11,54,1018.9,16.4
17,49,1014.9,18.3
9,62,1012.6,20.8
11,62,1012.6,20.7
7,72,1009.7,20.1
9,94,1004.3,18.3
2,63,1006.5,18.3
15,49,1009.1,19
19,51,1015.2,17.2
11,54,1017.3,19.4
7,67,1018.6,20
11,67,1019.8,21.2
17,43,1014.2,22.6
15,84,1007.2,20.7
13,60,1012.7,20.9
13,56,1015.3,21.7
13,63,1015.9,20.9
7,72,1014.2,21.2
2,58,1013.3,23.8
9,68,1009.8,22.1
6,81,1005.6,21.2
9,69,1009.9,19.9
15,50,1012.7,20
11,49,1014.5,20.8
13,50,1018.1,20.9
6,54,1019.8,22.6
6,61,1016.5,24.2
9,57,1016.5,25.5
7,55,1015.7,26.5
7,60,1012.2,24.5
6,59,1014.9,20.9
20,43,1015,18.9
15,47,1011.7,21.6
11,91,1006.3,20
20,56,1010.1,16.5
17,57,1011.2,17.9
22,85,1006.8,13.5
4,52,1017.9,14.8
7,62,1016.4,16.6
19,49,1015.2,19.5
15,52,1017.6,20.7
19,48,1020.9,23.5
17,41,1020.8,24.3
9,64,1016.6,21.2
11,59,1015.7,24.8
9,58,1014.2,25.3
11,56,1013.4,24.9
15,49,1019.9,24.5
13,44,1020.9,22.2
11,55,1017.4,21.1
